Time [s],PIN 0,TX
1.365921542,0,0
1.367393625,1,0
1.367467833,0,0
1.367623917,0,1
1.368265000,0,0
1.369737250,1,0
1.369811458,0,0
1.369967542,0,1
1.370608417,0,0
1.372080958,1,0
1.372155167,0,0
1.372311500,0,1
1.372952542,0,0
1.374424667,1,0
1.374498875,0,0
1.374655042,0,1
1.375296083,0,0
1.376768417,1,0
1.376842625,0,0
1.376998958,0,1
1.377639792,0,0
1.379112125,1,0
1.379186333,0,0
1.379342750,0,1
1.379983667,0,0
1.381455792,1,0
1.381530000,0,0
1.381686208,0,1
1.382327125,0,0
1.383799542,1,0
1.383873750,0,0
1.384030000,0,1
1.384671083,0,0
1.386143167,1,0
1.386217417,0,0
1.386373417,0,1
1.387014333,0,0
1.388486833,1,0
1.388561042,0,0
1.388717250,0,1
1.389358042,0,0
1.390830500,1,0
1.390904708,0,0
1.391064417,0,1
1.391705500,0,0
1.393174208,1,0
1.393248417,0,0
1.393404833,0,1
1.394045750,0,0
1.395517958,1,0
1.395592208,0,0
1.395752167,0,1
1.396393250,0,0
1.397861708,1,0
1.397935917,0,0
1.398092292,0,1
1.398733375,0,0
1.400205333,1,0
1.400279542,0,0
1.400439208,0,1
1.401080333,0,0
1.402549042,1,0
1.402623250,0,0
1.402779583,0,1
1.403420458,0,0
1.404892708,1,0
1.404966917,0,0
1.405123042,0,1
1.405763917,0,0
1.407236417,1,0
1.407310667,0,0
1.407466917,0,1
1.408107875,0,0
1.409580125,1,0
1.409654333,0,0
1.409810583,0,1
1.410451500,0,0
1.411923833,1,0
1.411998042,0,0
1.412157792,0,1
1.412798958,0,0
1.414267542,1,0
1.414341750,0,0
1.414497958,0,1
1.415139000,0,0
1.416611250,1,0
1.416685500,0,0
1.416841792,0,1
1.417482667,0,0
1.418954917,1,0
1.419029125,0,0
1.419188833,0,1
1.419829833,0,0
1.421298542,1,0
1.421372750,0,0
1.421532333,0,1
1.422173208,0,0
1.423642333,1,0
1.423716542,0,0
1.423872958,0,1
1.424513750,0,0
1.425986000,1,0
1.426060250,0,0
1.426216542,0,1
1.426857500,0,0
1.428329708,1,0
1.428403958,0,0
1.428560333,0,1
1.429201417,0,0
1.430673417,1,0
1.430747625,0,0
1.430903708,0,1
1.431544583,0,0
1.433017000,1,0
1.433091208,0,0
